year,current_round,team1,team2,seed1,seed2,team1_won,kadj_em_diff,kadj_o_diff,kadj_d_diff,barthag_diff,elite_sos_diff,talent_diff,exp_diff,o_rate_diff,d_rate_diff,relative_rating_diff,injury_rank_diff,roster_rank_diff,net_rpi_diff,resume_diff,wab_rank_diff,elo_diff,b_power_diff
2012,8,Louisville,Florida,4,7,1,-1.475200000000001,-15.064000000000007,-13.588400000000007,-0.017000000000000015,-0.02500000000000213,-9.832000000000008,0.28300000000000014,-10.207853854,12.092888252,1.8850343999999986,,,-16,-18,-9,-22,3.0
2012,8,Syracuse,Ohio St.,1,2,0,-4.393099999999997,-1.679000000000002,2.714100000000002,-0.025000000000000022,-5.383000000000003,-7.692999999999998,0.44500000000000006,-2.496532309999999,-1.3395370900000003,-3.8360693899999987,,,-6,-1,-6,-5,5.0
2012,8,North Carolina,Kansas,1,2,0,-0.6452999999999989,1.043999999999997,1.688999999999993,-0.0040000000000000036,-3.0330000000000013,18.876000000000005,-0.794,-0.05848765,0.47270437000000065,0.4142167299999997,,,-2,7,-1,-2,2.0
2012,16,Kentucky,Indiana,1,4,1,9.1889,1.0190000000000055,-8.169899999999998,0.051999999999999935,-3.221,18.932999999999993,-0.8320000000000001,2.531265079999999,8.148672301000001,10.679937379999998,,,-15,-4,-11,-25,-10.0
2012,16,Baylor,Xavier,3,10,1,9.8134,8.068000000000012,-1.7459999999999951,0.119,3.931000000000001,-5.888000000000005,-0.41700000000000004,5.743053127,0.7442243050000004,6.487277439999998,,,-33,-19,-39,-47,-45.0
2012,16,Michigan St.,Louisville,1,4,0,10.002200000000002,9.881,-0.12189999999999657,0.05599999999999994,5.099999999999998,-5.396999999999991,-0.06300000000000017,6.123928664,-1.6813694999999989,4.442559160000002,,,-11,-9,-9,-11,-17.0
2012,16,Marquette,Florida,3,7,0,-0.9543999999999997,-7.849000000000004,-6.894800000000004,-0.017000000000000015,-0.30400000000000205,-30.419000000000004,0.19399999999999995,-3.9004740800000004,5.456784059,1.5563099799999982,,,-21,-11,-11,-21,2.0
2012,16,Syracuse,Wisconsin,1,4,1,2.2094000000000023,4.064999999999998,1.8552999999999997,0.007000000000000006,-4.568000000000001,21.218000000000004,-0.15100000000000002,3.4085503690000003,1.3817929099999997,4.790343280000002,,,-22,-12,-12,-19,-1.0
2012,16,Cincinnati,Ohio St.,6,2,0,-14.759299999999998,-8.447000000000003,6.311999999999998,-0.10099999999999998,-4.7940000000000005,-28.491999999999997,0.5209999999999999,-6.40459484,-6.552207443,-12.956802269999999,,,35,9,16,18,35.0
2012,16,North Carolina,Ohio,1,13,1,15.4898,11.373999999999995,-4.115799999999993,0.17099999999999993,13.944999999999999,53.578,-0.09000000000000008,8.781192537,4.437231433000001,13.218423979999999,,,-42,-78,-45,-29,-61.0
2012,16,North Carolina St.,Kansas,11,2,0,-13.7774,-4.219000000000008,9.558599999999998,-0.121,-5.105999999999998,-6.0120000000000005,-0.30299999999999994,-4.699971548000001,-7.52973192,-12.229703469999999,,,43,75,45,52,41.0
2012,32,Kentucky,Iowa St.,1,8,1,15.2716,7.722000000000008,-7.549700000000001,0.11499999999999999,1.3689999999999998,32.159,-1.1079999999999999,8.581491062999998,7.372498951000001,15.953990009999998,,,-31,-21,-35,-39,-30.0
2012,32,VCU,Indiana,12,4,0,-9.905699999999998,-12.381,-2.4753999999999934,-0.09800000000000009,-15.577,-39.564,-0.2100000000000002,-10.259241210999999,3.5122076249999994,-6.747033590000001,,,21,88,19,-11,39.0
2012,32,Colorado,Baylor,11,3,0,-13.073739999999999,-11.042000000000002,2.032499999999999,-0.14900000000000002,-8.309000000000001,-13.061999999999998,0.09099999999999997,-9.3948694,-0.8801441700000003,-10.275013576999998,,,54,50,53,42,76.0
2012,32,Xavier,Lehigh,10,15,1,2.6976700000000005,-1.0180000000000007,-3.7158000000000015,0.08300000000000007,14.504999999999999,61.003,0.17100000000000004,0.27684701,2.536926494,2.813773502,,,-50,-87,-26,15,-27.0
2012,32,Michigan St.,Saint Louis,1,9,1,8.239400000000003,3.458999999999989,-4.7804,0.030999999999999917,13.851999999999997,37.708,-0.09299999999999997,5.085924833,3.21114311,8.297067940000002,,,-28,-60,-25,-23,-11.0
2012,32,New Mexico,Louisville,5,4,0,1.1365000000000016,5.1980000000000075,4.060699999999997,0.006000000000000005,-11.616999999999997,-30.639999999999993,-0.0950000000000002,4.13797069,-5.63663805,-1.498667359999999,,,13,11,13,-3,-2.0
2012,32,Murray St.,Marquette,6,3,0,-4.2675,-2.2120000000000033,2.056200000000004,-0.07800000000000007,-18.316,-48.283,0.5569999999999999,-3.1701836500000002,-1.9122245600000003,-5.082408209999999,,,13,22,10,-9,19.0
2012,32,Florida,Norfolk St.,7,15,1,22.737360000000002,20.7431,-1.9939999999999998,0.47500000000000003,18.625,80.867,-0.8660000000000001,18.954813133000002,3.538399222,22.493212357,,,-98,-133,-72,-69,-174.0
2012,32,Syracuse,Kansas St.,1,8,1,7.2132000000000005,6.072999999999993,-1.140199999999993,0.07599999999999996,-1.4009999999999998,32.688,0.2670000000000001,6.350307009000001,2.532166330000001,8.88247334,,,-47,-17,-32,-41,-14.0
2012,32,Vanderbilt,Wisconsin,5,4,0,-2.9715999999999987,2.814000000000007,5.785599999999988,-0.02399999999999991,-1.1140000000000008,26.230000000000004,0.36499999999999977,4.532654258999999,-2.602066206,1.9305880500000008,,,-4,4,6,-2,8.0
2012,32,Cincinnati,Florida St.,6,3,1,-2.8435000000000006,1.4909999999999997,4.333700000000007,-0.030000000000000027,-1.7399999999999984,-11.964000000000006,-0.581,3.159630733,-4.781610192999999,-1.6219794600000004,,,31,-4,6,11,14.0
2012,32,Gonzaga,Ohio St.,7,2,0,-12.886699999999998,-6.100999999999999,6.7860999999999905,-0.10799999999999998,-15.141000000000002,-47.037,0.09299999999999997,-6.952806151999999,-5.726448750000001,-12.67925489,,,18,34,25,23,25.0
2012,32,North Carolina,Creighton,1,8,1,9.1909,-2.531000000000006,-11.722099999999998,0.09999999999999998,8.907999999999998,55.731,-0.16400000000000015,1.6300527799999998,13.552735075000001,15.182787869999999,,,-20,-27,-10,-7,-20.0
2012,32,South Florida,Ohio,12,13,0,0.6943999999999999,-2.9440000000000026,-3.6382999999999868,0.0,14.882,-6.256999999999998,0.43199999999999994,-4.692525508,3.3644991330000007,-1.32802637,,,6,-34,9,13,-7.0
